电影名称,导演,主演,评分,评分人数,引述
V字仇杀队,詹姆斯·麦克特格 James McTeigue,娜塔莉·波特曼 Natalie Por...,8.8,414830,一张面具背后的理想与革命。
哈尔的移动城堡,宫崎骏 Hayao Miyazaki,倍赏千惠子 Chieko Baishô / 木村拓...,8.9,347829,带着心爱的人在天空飞翔。
教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,9.1,186130,优雅的孤独。
美丽心灵,朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 詹妮弗·...,8.9,303926,爱是一切逻辑和原由。
指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,8.9,269801,承前启后的史诗篇章。
指环王1：魔戒再现,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,8.9,301372,传说的开始。
死亡诗社,彼得·威尔 Peter Weir,罗宾·威廉姆斯 Robin Williams / 罗伯...,8.9,276122,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
控方证人,比利·怀尔德 Billy Wilder,查尔斯·劳顿 Charles Laughton / ...,9.6,85690,比利·怀德满分作品。
情书,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets...,8.8,372675,暗恋的极致。
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图 Audrey Tau...,8.7,480047,法式小清新。 
美国往事,赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗 Robert De Niro ...,9.1,173529,往事如烟，无处祭奠。
辩护人,杨宇硕 Woo-seok Yang,宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,9.1,198893,电影的现实意义大过电影本身。
饮食男女,李安 Ang Lee,吴倩莲 Chien-lien Wu / 杨贵媚 Kuei-Mei Yang /...,9.0,194449,人生不能像做菜，把所有的料都准备好了才下锅。
钢琴家,罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪 Adrien Brod...,9.0,201692,音乐能化解仇恨。
七宗罪,大卫·芬奇 David Fincher,摩根·弗里曼 Morgan Freeman / 布...,8.7,432509,警察抓小偷，老鼠玩死猫。
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,8.9,279236,动物版《哈姆雷特》。
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,中谷美纪 Miki Nakatani / 瑛太 E...,8.9,278693,以戏谑来戏谑戏谑。
致命魔术,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,8.8,339808,孪生蝙蝠侠大战克隆金刚狼。
小鞋子,马基德·马基迪 Majid Majidi,Amir Farrokh Hashemian / 默罕...,9.2,135131,奔跑的孩子是天使。
勇敢的心,梅尔·吉布森 Mel Gibson,梅尔·吉布森 Mel Gibson / 苏菲·玛...,8.8,293547,史诗大片的典范。
剪刀手爱德华,Tim Burton,约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...,8.7,479727,浪漫忧郁的成人童话。
音乐之声,Robert Wise,朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...,8.9,229779,用音乐化解仇恨，让歌声串起美好。
